Source,Target,Type,Id,Label,Weight
25,523,Directed,360,,1
25,3530,Directed,361,,1
25,176,Directed,362,,1
25,3400,Directed,363,,1
25,1288,Directed,364,,1
25,1173,Directed,365,,4
25,2908,Directed,366,,1
25,768,Directed,367,,1
25,4528,Directed,368,,1
25,3265,Directed,369,,1
25,3523,Directed,370,,1
25,1426,Directed,371,,1
25,2378,Directed,372,,1
25,1092,Directed,373,,1
25,2300,Directed,374,,2
25,52,Directed,375,,4
25,1167,Directed,376,,1
25,674,Directed,377,,1
25,1528,Directed,378,,1
25,4316,Directed,379,,1
25,3637,Directed,380,,2
25,3432,Directed,381,,1
25,3979,Directed,382,,2
25,1282,Directed,383,,1
25,1978,Directed,384,,2
25,4177,Directed,385,,1
25,149,Directed,386,,2
25,1650,Directed,387,,1
25,3692,Directed,388,,1
25,1063,Directed,389,,1
25,3823,Directed,390,,1
25,2482,Directed,391,,1
25,2786,Directed,392,,1
25,2312,Directed,393,,1
25,89,Directed,394,,2
25,2444,Directed,395,,1
25,1518,Directed,396,,1
25,1432,Directed,397,,1
25,1257,Directed,398,,1
25,3653,Directed,399,,1
25,522,Directed,400,,1
25,4056,Directed,401,,1
25,1155,Directed,402,,1
25,1275,Directed,403,,1
25,2904,Directed,404,,1
25,756,Directed,405,,1
25,2263,Directed,406,,1
25,3428,Directed,407,,1
25,2143,Directed,408,,3
25,4547,Directed,409,,1
25,1415,Directed,410,,1
25,946,Directed,411,,1
25,199,Directed,412,,1
25,728,Directed,413,,1
25,1143,Directed,414,,1
25,4478,Directed,415,,1
25,2622,Directed,416,,1
25,2670,Directed,417,,1
25,2042,Directed,418,,1
25,2657,Directed,419,,1
25,1708,Directed,420,,1
25,4366,Directed,421,,1
25,1793,Directed,422,,1
25,1834,Directed,423,,1
25,2013,Directed,424,,1
25,3906,Directed,425,,1
26,2172,Directed,426,,1
26,307,Directed,427,,1
26,4368,Directed,428,,1
26,2088,Directed,429,,1
26,2783,Directed,430,,1
26,1044,Directed,431,,2
26,3554,Directed,432,,1
28,997,Directed,433,,1
29,3301,Directed,434,,1
29,118,Directed,435,,1
29,3152,Directed,436,,1
29,490,Directed,437,,1
29,4395,Directed,438,,1
30,1306,Directed,439,,1
30,2670,Directed,440,,1
30,518,Directed,441,,1
30,2979,Directed,442,,1
31,3257,Directed,443,,1
31,3404,Directed,444,,1
31,3071,Directed,445,,1
32,573,Directed,446,,1
32,4302,Directed,447,,1
32,95,Directed,448,,1
32,2719,Directed,449,,1
32,1118,Directed,450,,1
32,2845,Directed,451,,1
32,2881,Directed,452,,1
32,81,Directed,453,,1
32,4338,Directed,454,,1
32,3441,Directed,455,,1
32,2482,Directed,456,,1
32,2223,Directed,457,,1
32,522,Directed,458,,1
32,974,Directed,459,,1
33,3097,Directed,460,,1
34,1415,Directed,461,,1
34,1375,Directed,462,,1
34,3126,Directed,463,,1
35,1486,Directed,464,,1
35,509,Directed,465,,1
37,176,Directed,466,,1
37,2553,Directed,467,,1
37,3390,Directed,468,,1
37,3926,Directed,469,,1
37,427,Directed,470,,1
37,1500,Directed,471,,1
37,523,Directed,472,,1
37,3877,Directed,473,,1
38,1824,Directed,474,,1
38,1017,Directed,475,,1
38,1626,Directed,476,,1
38,3313,Directed,477,,1
38,4028,Directed,478,,1
38,1026,Directed,479,,1
38,2121,Directed,480,,1
41,1518,Directed,481,,1
41,974,Directed,482,,1
41,1755,Directed,483,,1
41,2444,Directed,484,,1
41,3905,Directed,485,,1
41,3876,Directed,486,,1
41,427,Directed,487,,1
41,733,Directed,488,,1
41,2534,Directed,489,,1
41,52,Directed,490,,1
41,4057,Directed,491,,1
41,3108,Directed,492,,1
41,2500,Directed,493,,1
41,1650,Directed,494,,1
41,724,Directed,495,,1
41,4488,Directed,496,,1
41,2306,Directed,497,,1
41,3042,Directed,498,,1
41,606,Directed,499,,1
42,1415,Directed,500,,1
42,1793,Directed,501,,1
42,2096,Directed,502,,1
42,3765,Directed,503,,1
43,1721,Directed,504,,1
43,1982,Directed,505,,1
43,1535,Directed,506,,1
43,3040,Directed,507,,1
43,3309,Directed,508,,1
43,2812,Directed,509,,1
43,311,Directed,510,,1
43,1109,Directed,511,,1
43,951,Directed,512,,1
46,1632,Directed,513,,1
46,2199,Directed,514,,1
47,407,Directed,515,,1
47,2754,Directed,516,,1
48,1448,Directed,517,,1
50,1848,Directed,518,,1
50,428,Directed,519,,1
51,3544,Directed,520,,1
51,831,Directed,521,,1
51,974,Directed,522,,1
51,3795,Directed,523,,1
51,1626,Directed,524,,1
51,3153,Directed,525,,1
51,4536,Directed,526,,1
51,176,Directed,527,,1
51,3530,Directed,528,,1
52,3042,Directed,529,,4
52,3945,Directed,530,,1
52,1415,Directed,531,,1
52,816,Directed,532,,1
52,3019,Directed,533,,1
52,2108,Directed,534,,4
52,2747,Directed,535,,2
52,3692,Directed,536,,1
52,1018,Directed,537,,1
52,1519,Directed,538,,1
52,4439,Directed,539,,1
52,430,Directed,540,,1
52,1051,Directed,541,,2
52,3035,Directed,542,,1
52,1930,Directed,543,,1
52,2048,Directed,544,,1
52,3753,Directed,545,,1
52,4090,Directed,546,,1
52,2121,Directed,547,,3
52,899,Directed,548,,1
52,522,Directed,549,,3
52,1663,Directed,550,,1
52,647,Directed,551,,1
52,307,Directed,552,,1
52,361,Directed,553,,1
52,3820,Directed,554,,1
52,272,Directed,555,,1
52,4566,Directed,556,,1
52,2479,Directed,557,,1
52,353,Directed,558,,1
52,2961,Directed,559,,1
52,3813,Directed,560,,3
52,854,Directed,561,,1
52,3979,Directed,562,,1
52,1531,Directed,563,,1
52,2375,Directed,564,,1
52,411,Directed,565,,1
52,2728,Directed,566,,1
52,1576,Directed,567,,1
52,3937,Directed,568,,1
52,2088,Directed,569,,1
52,1242,Directed,570,,1
52,4565,Directed,571,,1
52,2014,Directed,572,,1
52,4161,Directed,573,,1
52,724,Directed,574,,1
52,501,Directed,575,,1
52,1202,Directed,576,,1
52,4177,Directed,577,,1
52,2369,Directed,578,,1
52,4512,Directed,579,,2
52,3140,Directed,580,,1
52,3730,Directed,581,,1
52,423,Directed,582,,3
52,3193,Directed,583,,1
52,1512,Directed,584,,1
52,4079,Directed,585,,1
52,1168,Directed,586,,1
52,59,Directed,587,,2
52,2482,Directed,588,,1
52,176,Directed,589,,1
52,3191,Directed,590,,2
52,4058,Directed,591,,1
52,1800,Directed,592,,1
52,2256,Directed,593,,1
52,1630,Directed,594,,1
52,2942,Directed,595,,1
52,2886,Directed,596,,1
52,1141,Directed,597,,1
52,1167,Directed,598,,1
52,2262,Directed,599,,1
52,3265,Directed,600,,1
52,3565,Directed,601,,1
52,1978,Directed,602,,1
52,3316,Directed,603,,1
52,2765,Directed,604,,1
52,2935,Directed,605,,1
52,2189,Directed,606,,1
52,518,Directed,607,,1
52,4547,Directed,608,,1
52,3340,Directed,609,,1
52,2452,Directed,610,,1
52,580,Directed,611,,1
52,1719,Directed,612,,1
52,146,Directed,613,,1
52,2876,Directed,614,,1
52,2143,Directed,615,,1
52,3663,Directed,616,,1
52,2794,Directed,617,,1
52,3551,Directed,618,,1
52,1140,Directed,619,,1
52,2370,Directed,620,,1
52,479,Directed,621,,1
52,2147,Directed,622,,1
53,3301,Directed,623,,1
53,965,Directed,624,,1
53,3463,Directed,625,,1
53,3469,Directed,626,,1
53,1678,Directed,627,,1
53,590,Directed,628,,1
53,1296,Directed,629,,1
54,2495,Directed,630,,1
54,255,Directed,631,,1
55,337,Directed,632,,1
58,1254,Directed,633,,1
58,58,Directed,634,,1
58,2306,Directed,635,,1
59,3257,Directed,636,,1
59,2595,Directed,637,,1
59,4549,Directed,638,,1
59,2012,Directed,639,,1
59,272,Directed,640,,1
59,2518,Directed,641,,1
59,1649,Directed,642,,1
59,2011,Directed,643,,1
59,2023,Directed,644,,2
59,3316,Directed,645,,1
59,3795,Directed,646,,1
59,791,Directed,647,,1
59,1326,Directed,648,,1
59,1978,Directed,649,,2
59,1090,Directed,650,,1
59,556,Directed,651,,1
59,1606,Directed,652,,1
59,2534,Directed,653,,1
59,89,Directed,654,,1
59,2006,Directed,655,,1
59,1151,Directed,656,,1
59,2747,Directed,657,,1
59,2493,Directed,658,,1
59,2720,Directed,659,,2
59,1133,Directed,660,,1
59,3548,Directed,661,,1
59,3042,Directed,662,,1
59,4242,Directed,663,,1
59,3813,Directed,664,,1
59,2375,Directed,665,,1
59,665,Directed,666,,1
61,3460,Directed,667,,1
61,2692,Directed,668,,1
61,2439,Directed,669,,1
62,1217,Directed,670,,1
62,4042,Directed,671,,1
62,1594,Directed,672,,1
62,2890,Directed,673,,1
62,246,Directed,674,,2
62,3765,Directed,675,,1
62,3072,Directed,676,,1
62,1201,Directed,677,,1
62,286,Directed,678,,1
62,1534,Directed,679,,1
62,3344,Directed,680,,1
62,2899,Directed,681,,1
62,3573,Directed,682,,2
62,822,Directed,683,,1
62,2341,Directed,684,,1
62,561,Directed,685,,1
62,3504,Directed,686,,1
62,3954,Directed,687,,1
62,2307,Directed,688,,1
62,4216,Directed,689,,1
62,1765,Directed,690,,1
62,939,Directed,691,,1
62,724,Directed,692,,1
63,214,Directed,693,,1
63,3906,Directed,694,,1
64,1998,Directed,695,,1
64,2202,Directed,696,,1
64,950,Directed,697,,1
65,1990,Directed,698,,1
65,398,Directed,699,,1
65,1641,Directed,700,,1
66,4266,Directed,701,,1
66,1576,Directed,702,,1
66,2798,Directed,703,,1
66,2735,Directed,704,,1
66,970,Directed,705,,1
66,1478,Directed,706,,1
66,2647,Directed,707,,1
66,4162,Directed,708,,1
66,948,Directed,709,,1
66,4057,Directed,710,,1
66,3468,Directed,711,,1
66,753,Directed,712,,1
67,2372,Directed,713,,1
67,1500,Directed,714,,1
67,3483,Directed,715,,1
67,988,Directed,716,,1
67,2478,Directed,717,,1
67,1216,Directed,718,,2
67,3820,Directed,719,,1
67,699,Directed,720,,1
67,2864,Directed,721,,1
67,3770,Directed,722,,1
67,764,Directed,723,,1
67,2444,Directed,724,,1
67,3193,Directed,725,,1
67,2118,Directed,726,,1
67,3765,Directed,727,,1
68,2783,Directed,728,,1
69,3234,Directed,729,,1
69,2505,Directed,730,,1
69,2008,Directed,731,,1
69,2631,Directed,732,,1
69,283,Directed,733,,1
69,426,Directed,734,,1
69,3045,Directed,735,,1
69,3579,Directed,736,,1
69,4058,Directed,737,,1
69,2990,Directed,738,,1
69,3944,Directed,739,,1
69,3306,Directed,740,,1
69,154,Directed,741,,1
69,898,Directed,742,,1
69,1842,Directed,743,,1
70,1090,Directed,744,,1
71,3183,Directed,745,,1
71,1039,Directed,746,,1
72,3061,Directed,747,,1
72,1842,Directed,748,,1
73,2816,Directed,749,,1
75,176,Directed,750,,1
76,2245,Directed,751,,1
76,3080,Directed,752,,1
77,2119,Directed,753,,1
77,1538,Directed,754,,1
77,607,Directed,755,,1
77,3591,Directed,756,,1
78,1592,Directed,757,,1
78,331,Directed,758,,1
79,3765,Directed,759,,1
79,3532,Directed,760,,1
79,460,Directed,761,,1
79,3530,Directed,762,,2
79,3238,Directed,763,,1
79,2067,Directed,764,,1
79,4255,Directed,765,,1
79,2215,Directed,766,,1
79,228,Directed,767,,1
79,4209,Directed,768,,1
80,3259,Directed,769,,1
80,3349,Directed,770,,1
81,95,Directed,771,,1
81,4302,Directed,772,,1
81,590,Directed,773,,1
81,864,Directed,774,,1
81,3045,Directed,775,,1
81,406,Directed,776,,1
81,4181,Directed,777,,1
81,3311,Directed,778,,1
81,490,Directed,779,,1
81,4452,Directed,780,,1
81,1928,Directed,781,,1
81,3151,Directed,782,,1
81,1116,Directed,783,,1
81,3575,Directed,784,,1
81,3468,Directed,785,,1
81,81,Directed,786,,1
81,2378,Directed,787,,1
81,3441,Directed,788,,1
81,1410,Directed,789,,1
81,3165,Directed,790,,1
81,2772,Directed,791,,1
81,1943,Directed,792,,1
81,1173,Directed,793,,1
81,1415,Directed,794,,1
81,2072,Directed,795,,1
81,986,Directed,796,,1
81,3328,Directed,797,,1
81,4307,Directed,798,,1
81,2340,Directed,799,,1
81,3725,Directed,800,,1
83,2238,Directed,801,,1
83,4307,Directed,802,,1
83,941,Directed,803,,1
83,176,Directed,804,,1
83,399,Directed,805,,1
84,2074,Directed,806,,1
84,2348,Directed,807,,1
85,1574,Directed,808,,1
86,243,Directed,809,,1
86,798,Directed,810,,1
86,3012,Directed,811,,1
86,1778,Directed,812,,1
86,1064,Directed,813,,1
86,501,Directed,814,,1
86,937,Directed,815,,1
86,2887,Directed,816,,1
86,4358,Directed,817,,1
86,674,Directed,818,,1
86,1864,Directed,819,,1
86,2843,Directed,820,,1
86,3245,Directed,821,,1
86,2417,Directed,822,,1
86,2430,Directed,823,,2
86,1502,Directed,824,,1
86,2834,Directed,825,,1
86,1538,Directed,826,,1
86,3891,Directed,827,,1
86,2789,Directed,828,,1
86,3458,Directed,829,,2
86,1736,Directed,830,,2
86,3666,Directed,831,,1
86,951,Directed,832,,1
86,496,Directed,833,,1
86,2663,Directed,834,,1
86,4177,Directed,835,,4
86,2833,Directed,836,,1
86,3430,Directed,837,,1
86,3623,Directed,838,,2
86,379,Directed,839,,1
86,2312,Directed,840,,1
86,1217,Directed,841,,1
86,2323,Directed,842,,1
86,3301,Directed,843,,1
86,753,Directed,844,,1
86,2543,Directed,845,,1
86,1173,Directed,846,,1
86,764,Directed,847,,1
86,2216,Directed,848,,1
86,4058,Directed,849,,1
86,897,Directed,850,,1
86,3905,Directed,851,,1
86,3517,Directed,852,,1
88,1040,Directed,853,,1
88,4370,Directed,854,,1
88,470,Directed,855,,1
88,3693,Directed,856,,1
88,2078,Directed,857,,1
88,88,Directed,858,,1
88,2043,Directed,859,,1
88,1500,Directed,860,,1
